106018,,0,201,240,242,,,,,,,,,,,,,,,,,,
106019,,0,4,4,4,,,,,,,,,,,,,,,,,,
106020,,0,0,0,1,,,,,,,,,,,,,,,,,,
106022,,0,4,4,4,,,,,,,,,,,,,,,,,,
106027,,0,96,96,103,,,,,,,,,,,,,,,,,,
107002,,0,0,58,75,,,,,,,,,,,,,,,,,,
107004,,130,247,1261,1346,,,,,,,,,,,,,,,,,,
107005,,0,0,128,128,,,,,,,,,,,,,,,,,,
107006,,1,1,143,152,,,,,,,,,,,,,,,,,,
107007,,6,6,15,15,,,,,,,,,,,,,,,,,,
107008,,13,74,263,285,,,,,,,,,,,,,,,,,,
107009,,3,28,458,482,,,,,,,,,,,,,,,,,,
107010,,9,47,172,200,,,,,,,,,,,,,,,,,,
107011,,0,18,18,18,,,,,,,,,,,,,,,,,,
107012,,0,6051,6589,6603,,,,,,,,,,,,,,,,,,
107013,,0,278,320,320,,,,,,,,,,,,,,,,,,
107014,,0,5723,6127,6176,,,,,,,,,,,,,,,,,,
107015,,0,2516,2577,2577,,,,,,,,,,,,,,,,,,
107016,,0,663,681,681,,,,,,,,,,,,,,,,,,
107017,,0,4975,5039,5039,,,,,,,,,,,,,,,,,,
107018,,98,5271,5583,5591,,,,,,,,,,,,,,,,,,
107019,,53,8639,9466,9546,,,,,,,,,,,,,,,,,,
107020,,7192,12397,12579,12605,,,,,,,,,,,,,,,,,,
107021,,13964,20167,20837,20874,,,,,,,,,,,,,,,,,,
107022,,1222,2131,2205,2213,,,,,,,,,,,,,,,,,,
107023,,1607,2440,2722,2752,,,,,,,,,,,,,,,,,,
107024,,14302,17726,17830,17840,,,,,,,,,,,,,,,,,,
107025,,14370,24237,24539,24554,,,,,,,,,,,,,,,,,,
107026,,883,16508,16682,16752,,,,,,,,,,,,,,,,,,
107027,,3467,10813,10975,11058,,,,,,,,,,,,,,,,,,
108003,,0,6,6,6,,,,,,,,,,,,,,,,,,
109002,,0,170,178,178,,,,,,,,,,,,,,,,,,
109004,,0,1,1,1,,,,,,,,,,,,,,,,,,
109005,,0,3,3,3,,,,,,,,,,,,,,,,,,
109006,,14,14,14,14,,,,,,,,,,,,,,,,,,
109007,,0,1,1,1,,,,,,,,,,,,,,,,,,
109009,,0,0,190,190,,,,,,,,,,,,,,,,,,
109011,,0,60,83,83,,,,,,,,,,,,,,,,,,
109013,,0,34,34,34,,,,,,,,,,,,,,,,,,
109014,,0,76,463,463,,,,,,,,,,,,,,,,,,
109016,,0,84,349,382,,,,,,,,,,,,,,,,,,
