,,Desmatamento (ha):bar:100,,,,,,,,Desmatamento total  (ha),Usinas Hidrelétricas,,,PCHs,,,Mineração (t),
id,Nome,1999,2000,2001,2002,2003,2004,2005,2006,,instaladas,planejadas,potenciais, instaladas,planejadas,potenciais,Potencial,Exploração
622,,5,2,3,3,,10,,8,13,8,,12,52,85,132,586,365
101003,,0,1,1,1,,,,,3,,,,,,,,
101004,,0,0,3,3,,,,,6,,,,,,,,
101006,,0,78,130,130,,,,,338,,,,,,,,
101007,,0,1,403,476,,,,,880,,,,,,,,
101009,,10,10,59,59,,,,,138,,,,,,,,
101010,,77,87,125,125,,,,,414,,,,,,,,
101013,,0,5,5,5,,,,,15,,,,,,,,
101014,,47,48,48,48,,,,,191,,,,,,,,
101015,,0,498,1152,1459,,,,,3109,,,,,,,,
101016,,0,2,2,2,,,,,6,,,,,,,,
102001,,123,123,123,123,,,,,492,,,,,,,,
102003,,0,2,2,2,,,,,6,,,,,,,,
102005,,31,31,31,31,,,,,124,,,,,,,,
102010,,0,105,105,105,,,,,315,,,,,,,,
102012,,0,2790,2790,2790,,,,,8370,,,,,,,,
102013,,0,228,228,228,,,,,684,,,,,,,,
102014,,0,615,722,722,,,,,2059,,,,,,,,
102015,,20,264,329,329,,,,,942,,,,,,,,
102017,,0,30,30,30,,,,,90,,,,,,,,
102018,,0,200,473,473,,,,,1146,,,,,,,,
102019,,0,541,931,934,,,,,2406,,,,,,,,
103001,,0,5119,6208,6952,,,,,18279,,,,,,,,
103002,,0,266,376,439,,,,,1081,,,,,,,,
103003,,0,2806,4186,4699,,,,,11691,,,,,,,,
103004,,99,174,193,195,,,,,661,,,,,,,,
103005,,811,8670,12062,12924,,,,,34467,,,,,,,,
103006,,0,2428,3794,3911,,,,,10133,,,,,,,,
103007,,2,379,530,545,,,,,1456,,,,,,,,
103008,,0,8,368,716,,,,,1092,,,,,,,,
103009,,0,1605,2703,3758,,,,,8066,,,,,,,,
103010,,0,30,68,68,,,,,166,,,,,,,,
103011,,0,1369,1703,1900,,,,,4972,,,,,,,,
103012,,0,12,45,187,,,,,244,,,,,,,,
103013,,0,0,28,28,,,,,56,,,,,,,,
103017,,4,4,4,4,,,,,16,,,,,,,,
103018,,115,292,1645,2037,,,,,4089,,,,,,,,
103020,,0,0,7,203,,,,,210,,,,,,,,
103022,,0,0,12,12,,,,,24,,,,,,,,
103023,,71,71,71,71,,,,,284,,,,,,,,
103025,,25,25,25,25,,,,,100,,,,,,,,
104020,,0,0,4,4,,,,,8,,,,,,,,
104024,,0,13,13,13,,,,,39,,,,,,,,
104025,,0,0,0,0,,,,,0,,,,,,,,
105001,,2,9135,16948,17151,,,,,43236,,,,,,,,
105002,,0,10634,12399,12469,,,,,35502,,,,,,,,
105003,,0,764,807,807,,,,,2378,,,,,,,,
105004,,0,995,1518,1518,,,,,4031,,,,,,,,
105005,,1,10798,13830,13982,,,,,38611,,,,,,,,
105006,,0,5988,9332,9372,,,,,24692,,,,,,,,
105007,,0,941,1099,1416,,,,,3456,,,,,,,,
105008,,0,1539,3110,3110,,,,,7759,,,,,,,,
105009,,9,3524,4244,4290,,,,,12067,,,,,,,,
105010,,5448,25058,27472,28567,,,,,86545,,,,,,,,
105011,,3102,9878,12262,12464,,,,,37706,,,,,,,,
105012,,894,22791,28114,29130,,,,,80929,,,,,,,,
105013,,1611,6612,10867,10975,,,,,30065,,,,,,,,
105014,,273,1401,1448,1448,,,,,4570,,,,,,,,
105015,,600,719,834,834,,,,,2987,,,,,,,,
105016,,9,1741,3215,3706,,,,,8671,,,,,,,,
105017,,631,4735,7579,7598,,,,,20543,,,,,,,,
105018,,1543,4288,5880,6292,,,,,18003,,,,,,,,
105019,,172,4040,7328,7806,,,,,19346,,,,,,,,
105020,,208,3084,4998,5511,,,,,13801,,,,,,,,
105021,,7203,11317,11743,11808,,,,,42071,,,,,,,,
105022,,73,5801,9803,10953,,,,,26630,,,,,,,,
105023,,1911,2363,2726,2726,,,,,9726,,,,,,,,
105024,,4991,6152,7245,7274,,,,,25662,,,,,,,,
105025,,2885,6113,7531,7817,,,,,24346,,,,,,,,
105026,,3304,11764,18269,18609,,,,,51946,,,,,,,,
105027,,6616,12993,15681,15753,,,,,51043,,,,,,,,
105028,,0,3668,4628,4665,,,,,12961,,,,,,,,
105029,,7182,21306,22622,22676,,,,,73786,,,,,,,,
105030,,1887,17205,21786,21836,,,,,62714,,,,,,,,
105031,,9635,15410,16176,16176,,,,,57397,,,,,,,,
106001,,0,100,248,248,,,,,596,,,,,,,,
106002,,0,1594,2343,2360,,,,,6297,,,,,,,,
106003,,0,4,8,8,,,,,20,,,,,,,,
106004,,0,5133,6990,7088,,,,,19211,,,,,,,,
106005,,0,754,1075,1075,,,,,2904,,,,,,,,
106006,,55,183,366,370,,,,,974,,,,,,,,
106007,,98,739,1200,1210,,,,,3247,,,,,,,,
106009,,0,0,9,9,,,,,18,,,,,,,,
106012,,0,5310,6563,6638,,,,,18511,,,,,,,,
106013,,0,494,789,814,,,,,2097,,,,,,,,
106014,,0,0,9,9,,,,,18,,,,,,,,
106016,,0,373,386,386,,,,,1145,,,,,,,,
106017,,0,143,154,154,,,,,451,,,,,,,,
106018,,0,201,240,242,,,,,683,,,,,,,,
106019,,0,4,4,4,,,,,12,,,,,,,,
106020,,0,0,0,1,,,,,1,,,,,,,,
106022,,0,4,4,4,,,,,12,,,,,,,,
106027,,0,96,96,103,,,,,295,,,,,,,,
107002,,0,0,58,75,,,,,133,,,,,,,,
107004,,130,247,1261,1346,,,,,2984,,,,,,,,
107005,,0,0,128,128,,,,,256,,,,,,,,
107006,,1,1,143,152,,,,,297,,,,,,,,
107007,,6,6,15,15,,,,,42,,,,,,,,
107008,,13,74,263,285,,,,,635,,,,,,,,
107009,,3,28,458,482,,,,,971,,,,,,,,
107010,,9,47,172,200,,,,,428,,,,,,,,
107011,,0,18,18,18,,,,,54,,,,,,,,
107012,,0,6051,6589,6603,,,,,19243,,,,,,,,
107013,,0,278,320,320,,,,,918,,,,,,,,
107014,,0,5723,6127,6176,,,,,18026,,,,,,,,
107015,,0,2516,2577,2577,,,,,7670,,,,,,,,
107016,,0,663,681,681,,,,,2025,,,,,,,,
107017,,0,4975,5039,5039,,,,,15053,,,,,,,,
107018,,98,5271,5583,5591,,,,,16543,,,,,,,,
107019,,53,8639,9466,9546,,,,,27704,,,,,,,,
107020,,7192,12397,12579,12605,,,,,44773,,,,,,,,
107021,,13964,20167,20837,20874,,,,,75842,,,,,,,,
107022,,1222,2131,2205,2213,,,,,7771,,,,,,,,
107023,,1607,2440,2722,2752,,,,,9521,,,,,,,,
107024,,14302,17726,17830,17840,,,,,67698,,,,,,,,
107025,,14370,24237,24539,24554,,,,,87700,,,,,,,,
107026,,883,16508,16682,16752,,,,,50825,,,,,,,,
107027,,3467,10813,10975,11058,,,,,36313,,,,,,,,
108003,,0,6,6,6,,,,,18,,,,,,,,
109002,,0,170,178,178,,,,,526,,,,,,,,
109004,,0,1,1,1,,,,,3,,,,,,,,
109005,,0,3,3,3,,,,,9,,,,,,,,
109006,,14,14,14,14,,,,,56,,,,,,,,
109007,,0,1,1,1,,,,,3,,,,,,,,
109009,,0,0,190,190,,,,,380,,,,,,,,
109011,,0,60,83,83,,,,,226,,,,,,,,
109013,,0,34,34,34,,,,,102,,,,,,,,
109014,,0,76,463,463,,,,,1002,,,,,,,,
109016,,0,84,349,382,,,,,815,,,,,,,,
109019,,25,1208,2183,2183,,,,,5599,,,,,,,,
109021,,0,39,165,165,,,,,369,,,,,,,,
109024,,0,1238,1420,1851,,,,,4509,,,,,,,,
109025,,0,3,3,3,,,,,9,,,,,,,,
109026,,0,1154,1216,1216,,,,,3586,,,,,,,,
109027,,0,0,88,88,,,,,176,,,,,,,,
109028,,0,1317,1735,3034,,,,,6086,,,,,,,,
109029,,0,1487,1616,1616,,,,,4719,,,,,,,,
109030,,0,52,187,187,,,,,426,,,,,,,,
109031,,59,3751,4089,4343,,,,,12242,,,,,,,,
109032,,0,442,446,446,,,,,1334,,,,,,,,
109033,,0,5748,5750,5750,,,,,17248,,,,,,,,
109034,,506,4372,4800,4871,,,,,14549,,,,,,,,
109035,,0,1619,1628,1628,,,,,4875,,,,,,,,
109036,,0,1974,2320,2324,,,,,6618,,,,,,,,
109037,,0,8595,8804,8804,,,,,26203,,,,,,,,
109038,,0,0,0,0,,,,,0,,,,,,,,
109039,,0,115,391,391,,,,,897,,,,,,,,
109040,,395,1898,2571,2667,,,,,7531,,,,,,,,
109041,,0,1371,1821,2063,,,,,5255,,,,,,,,
109042,,623,2249,3450,3545,,,,,9867,,,,,,,,
109043,,11,2161,3230,3312,,,,,8714,,,,,,,,
109044,,862,5547,10473,12074,,,,,28956,,,,,,,,
109045,,398,4949,5307,5307,,,,,15961,,,,,,,,
109046,,769,2696,4329,4682,,,,,12476,,,,,,,,
109047,,2207,5693,8346,8683,,,,,24929,,,,,,,,
109048,,286,1367,3133,3469,,,,,8255,,,,,,,,
109049,,2020,5929,8472,8825,,,,,25246,,,,,,,,
110002,,0,45,45,45,,,,,135,,,,,,,,
110006,,8,8,8,8,,,,,32,,,,,,,,
110007,,6,6,6,6,,,,,24,,,,,,,,
110009,,50,50,50,50,,,,,200,,,,,,,,
110010,,6,6,6,6,,,,,24,,,,,,,,
110012,,38,180,180,180,,,,,578,,,,,,,,
110024,,0,325,835,845,,,,,2005,,,,,,,,
110029,,58,58,58,58,,,,,232,,,,,,,,
110030,,46,46,56,56,,,,,204,,,,,,,,
110031,,2065,2091,2098,2098,,,,,8352,,,,,,,,
110034,,23,23,43,43,,,,,132,,,,,,,,
110038,,99,99,99,99,,,,,396,,,,,,,,
110043,,41,48,48,48,,,,,185,,,,,,,,
110044,,0,18,18,18,,,,,54,,,,,,,,
110045,,0,2,2,2,,,,,6,,,,,,,,
110046,,0,5,5,5,,,,,15,,,,,,,,
110049,,0,4,4,4,,,,,12,,,,,,,,
110051,,77,112,112,112,,,,,413,,,,,,,,
110053,,0,0,12,12,,,,,24,,,,,,,,
110054,,0,3,3,3,,,,,9,,,,,,,,
110060,,0,2,2,2,,,,,6,,,,,,,,
110062,,0,3,218,218,,,,,439,,,,,,,,
110065,,312,315,315,315,,,,,1257,,,,,,,,
110068,,27,770,2095,2112,,,,,5004,,,,,,,,
110069,,0,11,11,11,,,,,33,,,,,,,,
110070,,0,369,593,600,,,,,1562,,,,,,,,
110071,,0,212,335,335,,,,,882,,,,,,,,
110072,,0,0,36,36,,,,,72,,,,,,,,
110074,,0,209,421,421,,,,,1051,,,,,,,,
110075,,0,835,1224,1224,,,,,3283,,,,,,,,
111001,,0,1691,1932,1932,,,,,5555,,,,,,,,
111002,,0,961,1023,1023,,,,,3007,,,,,,,,
111003,,0,1367,1367,1367,,,,,4101,,,,,,,,
111004,,61,75,75,75,,,,,286,,,,,,,,
111005,,724,2128,2607,2676,,,,,8135,,,,,,,,
111006,,411,610,660,660,,,,,2341,,,,,,,,
111007,,990,2050,2050,2050,,,,,7140,,,,,,,,
111008,,408,414,417,417,,,,,1656,,,,,,,,
111009,,148,153,153,153,,,,,607,,,,,,,,
111010,,2441,2812,3190,3197,,,,,11640,,,,,,,,
111011,,1670,1738,1738,1738,,,,,6884,,,,,,,,
111013,,457,2436,4200,4472,,,,,11565,,,,,,,,
111014,,0,44,44,44,,,,,132,,,,,,,,
111015,,98,385,1288,1288,,,,,3059,,,,,,,,
111016,,194,2209,3966,4008,,,,,10377,,,,,,,,
111017,,0,1,1,1,,,,,3,,,,,,,,
111020,,0,1,1,1,,,,,3,,,,,,,,
112001,,2416,3330,3438,3438,,,,,12622,,,,,,,,
112002,,4236,8454,9069,9072,,,,,30831,,,,,,,,
112003,,762,2527,2845,2945,,,,,9079,,,,,,,,
112004,,86,1186,1461,1526,,,,,4259,,,,,,,,
112005,,93,2064,2967,2987,,,,,8111,,,,,,,,
112006,,10391,15992,16991,16991,,,,,60365,,,,,,,,
112007,,0,6,15,15,,,,,36,,,,,,,,
112008,,93,1139,4816,5189,,,,,11237,,,,,,,,
112009,,0,442,505,505,,,,,1452,,,,,,,,
112011,,0,11,22,22,,,,,55,,,,,,,,
112015,,0,38,38,38,,,,,114,,,,,,,,
112018,,0,65,65,65,,,,,195,,,,,,,,
112020,,0,0,14,14,,,,,28,,,,,,,,
112024,,0,27,27,27,,,,,81,,,,,,,,
113007,,0,7,7,7,,,,,21,,,,,,,,
113010,,0,17,17,17,,,,,51,,,,,,,,
113018,,0,0,12,12,,,,,24,,,,,,,,
113021,,0,0,85,85,,,,,170,,,,,,,,
113046,,0,0,6,6,,,,,12,,,,,,,,
114001,,5136,11807,11888,11888,,,,,40719,,,,,,,,
114002,,8349,15023,15582,15582,,,,,54536,,,,,,,,
114003,,10571,14023,14137,14137,,,,,52868,,,,,,,,
114004,,7859,7859,7865,7865,,,,,31448,,,,,,,,
114005,,3915,3921,3954,3981,,,,,15771,,,,,,,,
114006,,18842,18852,18901,18901,,,,,75496,,,,,,,,
114007,,3507,3507,3507,3507,,,,,14028,,,,,,,,
114008,,4962,5007,5228,5263,,,,,20460,,,,,,,,
114009,,25107,25107,25125,25125,,,,,100464,,,,,,,,
114010,,2914,2914,2914,2914,,,,,11656,,,,,,,,
114011,,2544,2637,2652,2652,,,,,10485,,,,,,,,
114012,,7861,8690,8722,8722,,,,,33995,,,,,,,,
114013,,7334,7913,8973,9089,,,,,33309,,,,,,,,
114014,,12499,12526,12526,12526,,,,,50077,,,,,,,,
114015,,10076,10077,10240,10240,,,,,40633,,,,,,,,
114016,,8549,8595,8595,8595,,,,,34334,,,,,,,,
114017,,5744,5815,5817,5817,,,,,23193,,,,,,,,
114018,,23853,24030,24058,24058,,,,,95999,,,,,,,,
115001,,0,85,180,300,,,,,565,,,,,,,,
115002,,0,31,109,112,,,,,252,,,,,,,,
115003,,0,61,65,65,,,,,191,,,,,,,,
115004,,0,123,419,476,,,,,1018,,,,,,,,
115005,,0,239,360,363,,,,,962,,,,,,,,
115006,,0,416,530,549,,,,,1495,,,,,,,,
115007,,0,176,259,271,,,,,706,,,,,,,,
115008,,0,22,29,29,,,,,80,,,,,,,,
115009,,0,131,182,201,,,,,514,,,,,,,,
115010,,0,31,39,39,,,,,109,,,,,,,,
115011,,0,91,274,282,,,,,647,,,,,,,,
115012,,0,46,117,122,,,,,285,,,,,,,,
115013,,0,107,113,113,,,,,333,,,,,,,,
115014,,0,414,568,568,,,,,1550,,,,,,,,
115015,,0,2,2,2,,,,,6,,,,,,,,
115016,,0,471,724,726,,,,,1921,,,,,,,,
115017,,0,946,1136,1150,,,,,3232,,,,,,,,
115018,,0,1515,1684,1773,,,,,4972,,,,,,,,
115019,,0,169,381,397,,,,,947,,,,,,,,
115020,,0,412,554,572,,,,,1538,,,,,,,,
115021,,0,1413,1454,1454,,,,,4321,,,,,,,,
115022,,0,633,753,759,,,,,2145,,,,,,,,
115023,,1,14,14,14,,,,,43,,,,,,,,
115024,,0,13,34,34,,,,,81,,,,,,,,
115025,,0,2865,3740,3974,,,,,10579,,,,,,,,
115026,,0,14,14,14,,,,,42,,,,,,,,
115027,,0,862,1291,1535,,,,,3688,,,,,,,,
115028,,0,406,447,465,,,,,1318,,,,,,,,
115029,,0,168,227,227,,,,,622,,,,,,,,
115030,,0,19,20,20,,,,,59,,,,,,,,
115031,,0,0,9,9,,,,,18,,,,,,,,
115033,,7621,19346,20423,20581,,,,,67971,,,,,,,,
115034,,1274,4529,5523,5753,,,,,17079,,,,,,,,
115035,,152,261,285,334,,,,,1032,,,,,,,,
115036,,603,1041,1162,1204,,,,,4010,,,,,,,,
115038,,2440,11438,14377,14996,,,,,43251,,,,,,,,
115040,,0,2097,4534,4669,,,,,11300,,,,,,,,
115041,,1590,5132,5793,5863,,,,,18378,,,,,,,,
115042,,5401,8492,9148,9162,,,,,32203,,,,,,,,
115043,,10228,22931,25300,25554,,,,,84013,,,,,,,,
115044,,1724,7336,9373,9558,,,,,27991,,,,,,,,
115045,,192,515,713,713,,,,,2133,,,,,,,,
115046,,513,2186,3155,3423,,,,,9277,,,,,,,,
115047,,0,40,263,263,,,,,566,,,,,,,,
115048,,768,1860,1953,1953,,,,,6534,,,,,,,,
115049,,2812,5812,7005,7291,,,,,22920,,,,,,,,
115050,,95,2666,3590,3785,,,,,10136,,,,,,,,
115051,,3820,6574,7564,7625,,,,,25583,,,,,,,,
115052,,1179,2732,3049,3083,,,,,10043,,,,,,,,
115053,,5976,8883,10052,10355,,,,,35266,,,,,,,,
115054,,169,220,247,247,,,,,883,,,,,,,,
115055,,18210,23797,24991,25042,,,,,92040,,,,,,,,
115056,,24073,33944,35417,35457,,,,,128891,,,,,,,,
115057,,380,2634,2888,2903,,,,,8805,,,,,,,,
115058,,5810,16004,18225,18382,,,,,58421,,,,,,,,
115059,,21801,57324,66623,67059,,,,,212807,,,,,,,,
115060,,9301,13336,15402,15743,,,,,53782,,,,,,,,
115061,,15259,25788,28278,28431,,,,,97756,,,,,,,,
115062,,3390,7605,8183,8274,,,,,27452,,,,,,,,
115063,,6143,12012,12902,13081,,,,,44138,,,,,,,,
116001,,470,471,497,497,,,,,1935,,,,,,,,
116002,,4222,5019,5349,5357,,,,,19947,,,,,,,,
116003,,5382,5779,6284,6312,,,,,23757,,,,,,,,
116004,,686,757,882,885,,,,,3210,,,,,,,,
116005,,0,963,2304,2314,,,,,5581,,,,,,,,
116006,,842,1095,1616,1659,,,,,5212,,,,,,,,
116007,,0,8,255,330,,,,,593,,,,,,,,
116008,,0,49,259,270,,,,,578,,,,,,,,
116009,,948,2376,3630,3630,,,,,10584,,,,,,,,
116010,,0,318,2435,2458,,,,,5211,,,,,,,,
116011,,0,159,180,180,,,,,519,,,,,,,,
116012,,3,183,644,720,,,,,1550,,,,,,,,
116013,,0,332,1652,1730,,,,,3714,,,,,,,,
116014,,121,1115,2073,2159,,,,,5468,,,,,,,,
116015,,0,572,1371,1371,,,,,3314,,,,,,,,
116016,,349,688,1276,1301,,,,,3614,,,,,,,,
116017,,1531,3785,5197,5433,,,,,15946,,,,,,,,
116018,,136,762,1204,1207,,,,,3309,,,,,,,,
116019,,2334,4074,5516,5668,,,,,17592,,,,,,,,
116020,,158,1701,2490,2547,,,,,6896,,,,,,,,
116021,,562,1518,4016,4334,,,,,10430,,,,,,,,
116022,,6408,10618,13015,13193,,,,,43234,,,,,,,,
116023,,673,835,835,835,,,,,3178,,,,,,,,
116024,,82,1679,1724,1741,,,,,5226,,,,,,,,
116025,,0,137,161,181,,,,,479,,,,,,,,
116026,,2326,3310,4032,4060,,,,,13728,,,,,,,,
116027,,0,6455,7105,7183,,,,,20743,,,,,,,,
116028,,1246,11590,14292,14536,,,,,41664,,,,,,,,
116029,,10421,14207,16474,16644,,,,,57746,,,,,,,,
116030,,1988,14889,15568,15734,,,,,48179,,,,,,,,
116031,,8304,11657,13777,14022,,,,,47760,,,,,,,,
116032,,0,8338,8749,8814,,,,,25901,,,,,,,,
116033,,0,913,1034,1034,,,,,2981,,,,,,,,
116034,,66,9724,10015,10070,,,,,29875,,,,,,,,
116035,,0,34,35,35,,,,,104,,,,,,,,
116036,,0,12063,12620,12640,,,,,37323,,,,,,,,
116037,,10886,15800,20205,20955,,,,,67846,,,,,,,,
116038,,0,2220,2423,2441,,,,,7084,,,,,,,,
116039,,1547,8501,8885,8925,,,,,27858,,,,,,,,
116040,,0,6914,7985,8059,,,,,22958,,,,,,,,
116041,,13504,17769,23531,24261,,,,,79065,,,,,,,,
116042,,0,2009,3423,3925,,,,,9357,,,,,,,,
116043,,18371,24114,25450,25674,,,,,93609,,,,,,,,
116044,,0,3983,5445,5696,,,,,15124,,,,,,,,
116045,,62,10095,11910,12007,,,,,34074,,,,,,,,
116046,,3566,4007,4558,4585,,,,,16716,,,,,,,,
116047,,2349,8301,8988,9051,,,,,28689,,,,,,,,
116048,,6304,9418,12201,12566,,,,,40489,,,,,,,,
116049,,1709,12685,17654,18378,,,,,50426,,,,,,,,
116050,,3289,5914,6835,7241,,,,,23279,,,,,,,,
116051,,7943,13807,18390,18772,,,,,58912,,,,,,,,
117001,,13135,14193,14560,14600,,,,,56488,,,,,,,,
117002,,5895,10773,11175,11201,,,,,39044,,,,,,,,
117003,,1542,1775,1793,1793,,,,,6903,,,,,,,,
117004,,890,1188,1196,1196,,,,,4470,,,,,,,,
117005,,849,925,995,995,,,,,3764,,,,,,,,
117006,,27227,29699,30509,30575,,,,,118010,,,,,,,,
117007,,1860,3277,4282,4362,,,,,13781,,,,,,,,
117008,,6777,8023,8276,8282,,,,,31358,,,,,,,,
117009,,1834,2197,2343,2374,,,,,8748,,,,,,,,
117010,,13026,17466,18330,18449,,,,,67271,,,,,,,,
117011,,17191,19270,19956,19982,,,,,76399,,,,,,,,
117012,,3617,3770,3939,3948,,,,,15274,,,,,,,,
117013,,131,135,145,145,,,,,556,,,,,,,,
117014,,610,643,665,665,,,,,2583,,,,,,,,
117015,,17742,19904,21027,21084,,,,,79757,,,,,,,,
117016,,247,976,1667,1760,,,,,4650,,,,,,,,
117017,,2415,2805,3047,3079,,,,,11346,,,,,,,,
117018,,993,1132,1147,1147,,,,,4419,,,,,,,,
117019,,6066,7267,7811,7847,,,,,28991,,,,,,,,
117020,,1299,1452,1646,1646,,,,,6043,,,,,,,,
117021,,16123,16301,16570,16596,,,,,65590,,,,,,,,
117022,,2727,3194,3494,3544,,,,,12959,,,,,,,,
117023,,1148,1177,1191,1191,,,,,4707,,,,,,,,
117024,,5210,7213,8197,8285,,,,,28905,,,,,,,,
117025,,2225,3209,4020,4159,,,,,13613,,,,,,,,
117026,,74,165,282,296,,,,,817,,,,,,,,
117027,,6946,7655,8124,8219,,,,,30944,,,,,,,,
117028,,60,182,345,345,,,,,932,,,,,,,,
117029,,3949,4327,5251,5300,,,,,18827,,,,,,,,
117030,,13,550,1550,1550,,,,,3663,,,,,,,,
117031,,8426,10363,11848,11970,,,,,42607,,,,,,,,
117032,,1283,2099,2640,2686,,,,,8708,,,,,,,,
117033,,1684,2040,2465,2524,,,,,8713,,,,,,,,
117034,,673,756,832,839,,,,,3100,,,,,,,,
117035,,9985,10912,11541,11593,,,,,44031,,,,,,,,
117036,,980,1138,1515,1527,,,,,5160,,,,,,,,
117037,,173,178,178,178,,,,,707,,,,,,,,
117038,,1217,2426,4310,4475,,,,,12428,,,,,,,,
117039,,1629,2032,2689,2771,,,,,9121,,,,,,,,
117040,,8339,8614,9229,9252,,,,,35434,,,,,,,,
117041,,0,7,107,145,,,,,259,,,,,,,,
117042,,1193,1329,1448,1451,,,,,5421,,,,,,,,
117043,,117,119,119,119,,,,,474,,,,,,,,
117044,,178,307,350,350,,,,,1185,,,,,,,,
117045,,52,106,386,398,,,,,942,,,,,,,,
117047,,527,1454,2612,2703,,,,,7296,,,,,,,,
117048,,614,1254,2333,2362,,,,,6563,,,,,,,,
117049,,979,1425,2469,2661,,,,,7534,,,,,,,,
117050,,0,30,197,197,,,,,424,,,,,,,,
117051,,0,8,52,52,,,,,112,,,,,,,,
117052,,0,335,985,1033,,,,,2353,,,,,,,,
117053,,0,61,146,153,,,,,360,,,,,,,,
117054,,3237,3414,3471,3471,,,,,13593,,,,,,,,
117055,,286,996,2413,2667,,,,,6362,,,,,,,,
117056,,3424,3799,4338,4352,,,,,15913,,,,,,,,
117057,,0,0,173,333,,,,,506,,,,,,,,
117059,,4755,4863,4992,5014,,,,,19624,,,,,,,,
117060,,0,103,219,248,,,,,570,,,,,,,,
117061,,53,179,705,1339,,,,,2276,,,,,,,,
117062,,310,397,1256,1821,,,,,3784,,,,,,,,
117064,,27,403,1164,1402,,,,,2996,,,,,,,,
117065,,10123,11963,14164,14826,,,,,51076,,,,,,,,
117066,,6181,7581,9807,10313,,,,,33882,,,,,,,,
117067,,53,60,60,60,,,,,233,,,,,,,,
117068,,123,124,124,124,,,,,495,,,,,,,,
117069,,1124,1125,1125,1125,,,,,4499,,,,,,,,
117070,,1598,2330,3974,4504,,,,,12406,,,,,,,,
117071,,7683,8441,9127,9233,,,,,34484,,,,,,,,
117072,,301,308,316,330,,,,,1255,,,,,,,,
117073,,1249,1622,1990,2018,,,,,6879,,,,,,,,
117074,,5112,5990,7004,7351,,,,,25457,,,,,,,,
117075,,4139,4672,5441,5587,,,,,19839,,,,,,,,
117076,,213,240,255,284,,,,,992,,,,,,,,
117078,,9945,11390,11918,11954,,,,,45207,,,,,,,,
117079,,4748,5059,5443,5464,,,,,20714,,,,,,,,
117080,,7680,8708,10187,10772,,,,,37347,,,,,,,,
117081,,186,214,265,265,,,,,930,,,,,,,,
117082,,6718,7109,7483,7570,,,,,28880,,,,,,,,
117083,,7379,7996,8515,8607,,,,,32497,,,,,,,,
117084,,2860,3576,4015,4094,,,,,14545,,,,,,,,
117085,,494,565,803,929,,,,,2791,,,,,,,,
117086,,5796,6615,7909,8213,,,,,28533,,,,,,,,
117087,,2220,2858,4420,4798,,,,,14296,,,,,,,,
117088,,7682,8449,9385,9661,,,,,35177,,,,,,,,
117089,,14864,16308,18252,18717,,,,,68141,,,,,,,,
117090,,0,192,645,815,,,,,1652,,,,,,,,
117091,,2021,3909,5979,6279,,,,,18188,,,,,,,,
117092,,81,317,1430,1557,,,,,3385,,,,,,,,
117093,,55,833,2114,2376,,,,,5378,,,,,,,,
117094,,146,158,475,504,,,,,1283,,,,,,,,
117095,,30,79,291,323,,,,,723,,,,,,,,
117096,,0,27,346,346,,,,,719,,,,,,,,
117098,,2042,2555,5330,6101,,,,,16028,,,,,,,,
117099,,3733,5212,7835,8810,,,,,25590,,,,,,,,
118001,,588,1078,1078,1115,,,,,3859,,,,,,,,
118002,,979,3183,3931,4359,,,,,12452,,,,,,,,
118003,,760,1609,1923,2103,,,,,6395,,,,,,,,
118004,,11,448,816,1187,,,,,2462,,,,,,,,
118005,,600,2445,2725,2815,,,,,8585,,,,,,,,
118006,,53,3545,4111,4307,,,,,12016,,,,,,,,
118007,,1456,2447,2557,2609,,,,,9069,,,,,,,,
118008,,1598,6585,7272,7352,,,,,22807,,,,,,,,
118009,,201,224,242,249,,,,,916,,,,,,,,
118014,,215,219,225,225,,,,,884,,,,,,,,
118023,,0,0,34,34,,,,,68,,,,,,,,
118024,,0,20,916,941,,,,,1877,,,,,,,,
118029,,0,18,18,18,,,,,54,,,,,,,,
118032,,534,4048,4751,4803,,,,,14136,,,,,,,,
118037,,168,1787,3298,3639,,,,,8892,,,,,,,,
118040,,8,8,8,8,,,,,32,,,,,,,,
118047,,0,0,372,372,,,,,744,,,,,,,,
118051,,882,1619,2183,2268,,,,,6952,,,,,,,,
118060,,47,1079,1499,1567,,,,,4192,,,,,,,,
118061,,48,62,62,62,,,,,234,,,,,,,,
118066,,452,492,547,547,,,,,2038,,,,,,,,
118067,,6,6,6,6,,,,,24,,,,,,,,
118068,,39,39,39,39,,,,,156,,,,,,,,
118069,,0,3956,8245,8470,,,,,20671,,,,,,,,
118074,,9,44,53,103,,,,,209,,,,,,,,
118075,,636,4458,5703,5764,,,,,16561,,,,,,,,
118076,,18,18,18,18,,,,,72,,,,,,,,
118079,,335,429,429,436,,,,,1629,,,,,,,,
118080,,7,7,7,7,,,,,28,,,,,,,,
118081,,59,912,1198,1198,,,,,3367,,,,,,,,
118083,,223,223,225,225,,,,,896,,,,,,,,
118085,,0,1,1,1,,,,,3,,,,,,,,
118087,,0,0,39,39,,,,,78,,,,,,,,
118088,,38,46,46,46,,,,,176,,,,,,,,
118089,,1687,2993,4846,4923,,,,,14449,,,,,,,,
118091,,76,84,84,84,,,,,328,,,,,,,,
118092,,5648,7771,11407,11698,,,,,36524,,,,,,,,
118093,,45,405,654,654,,,,,1758,,,,,,,,
