,,Desmatamento (ha):bar:100,,,,,,,,Desmatamento total  (ha),Usinas Hidrelétricas,,,PCHs,,,Mineração (t),
2004155,,4,4,4,4,,,,,16,,,,,,,,
2004156,,156,157,157,157,,,,,627,,,,,,,,
2004164,,59,59,59,59,,,,,236,,,,,,,,
2004166,,10,10,10,10,,,,,40,,,,,,,,
2004167,,46,46,49,49,,,,,190,,,,,,,,
2004168,,0,1,1,1,,,,,3,,,,,,,,
2004170,,6,6,6,6,,,,,24,,,,,,,,
2004173,,0,0,0,7,,,,,7,,,,,,,,
2004174,,26,31,32,32,,,,,121,,,,,,,,
2004181,,54,54,54,54,,,,,216,,,,,,,,
2004182,,44,44,44,44,,,,,176,,,,,,,,
2004184,,13,13,13,13,,,,,52,,,,,,,,
2004193,,10,10,10,10,,,,,40,,,,,,,,
2004194,,17,32,32,32,,,,,113,,,,,,,,
2004195,,59,59,59,59,,,,,236,,,,,,,,
2004199,,48,48,48,48,,,,,192,,,,,,,,
2004202,,0,7,7,7,,,,,21,,,,,,,,
2004205,,19,19,19,19,,,,,76,,,,,,,,
2004207,,38,43,43,43,,,,,167,,,,,,,,
2004208,,0,0,1,1,,,,,2,,,,,,,,
2004211,,55,55,55,55,,,,,220,,,,,,,,
2004218,,3,3,3,3,,,,,12,,,,,,,,
2004220,,66,66,66,66,,,,,264,,,,,,,,
2004226,,0,0,0,10,,,,,10,,,,,,,,
2004227,,0,0,1,1,,,,,2,,,,,,,,
2004228,,147,156,156,156,,,,,615,,,,,,,,
2004231,,0,1,1,1,,,,,3,,,,,,,,
2004233,,77,77,82,82,,,,,318,,,,,,,,
2004240,,98,100,100,100,,,,,398,,,,,,,,
2004242,,0,3,3,3,,,,,9,,,,,,,,
2004243,,72,72,74,74,,,,,292,,,,,,,,
2004247,,65,66,66,66,,,,,263,,,,,,,,
2004250,,0,2,2,2,,,,,6,,,,,,,,
2004253,,0,0,15,15,,,,,30,,,,,,,,
2004254,,78,78,79,79,,,,,314,,,,,,,,
2004255,,0,0,9,9,,,,,18,,,,,,,,
2004257,,2916,2938,2938,2938,,,,,11730,,,,,,,,
